Entity,Code,Year,Change in global mean surface temperature caused by nitrous oxide emissions from fossil fuels and industry,Change in global mean surface temperature caused by nitrous oxide emissions from agriculture and land use,Change in global mean surface temperature caused by methane emissions from fossil fuels and industry,Change in global mean surface temperature caused by methane emissions from agriculture and land use,Change in global mean surface temperature caused by CO₂ emissions from fossil fuels and industry,Change in global mean surface temperature caused by CO₂ emissions from agriculture and land use
Afghanistan,AFG,1851,3.269849e-9,9.989846e-8,2.018405e-7,9.649681e-7,0,0.0000016462297
Afghanistan,AFG,1852,6.5927304e-9,2.0179482e-7,4.053116e-7,0.0000019352672,0,0.000003308613
Afghanistan,AFG,1853,9.966883e-9,3.056031e-7,6.104223e-7,0.0000029108976,0,0.0000049866794
Afghanistan,AFG,1854,1.3389876e-8,4.1120452e-7,8.1718287e-7,0.0000038918597,0,0.0000066800167
Afghanistan,AFG,1855,1.68586e-8,5.1844734e-7,0.0000010256027,0.0000048781526,0,0.000008388175
Afghanistan,AFG,1856,2.036928e-8,6.271471e-7,0.0000012356917,0.000005869777,0,0.00001011066
Afghanistan,AFG,1857,2.3917458e-8,7.370863e-7,0.0000014474595,0.0000068667323,0,0.000011847515
Afghanistan,AFG,1858,2.7498018e-8,8.480147e-7,0.0000016609156,0.000007869019,0,0.000013598224
Afghanistan,AFG,1859,3.1105156e-8,9.596492e-7,0.0000018760692,0.000008876638,0,0.00001536242
Afghanistan,AFG,1860,3.4732402e-8,0.0000010716739,0.0000020929313,0.000009889588,0,0.000017145401
Afghanistan,AFG,1861,3.8375696e-8,0.00000118389,0.0000023115865,0.000010908165,0,0.000018944054
Afghanistan,AFG,1862,4.2033992e-8,0.0000012962472,0.0000025320458,0.0000119323695,0,0.000020756319
Afghanistan,AFG,1863,4.5706525e-8,0.0000014087076,0.0000027543201,0.000012962202,0,0.000022581591
Afghanistan,AFG,1864,4.939279e-8,0.0000015212466,0.0000029784203,0.000013997662,0,0.00002441945
Afghanistan,AFG,1865,5.309255e-8,0.0000016338528,0.0000032043567,0.000015038749,0,0.00002626923
Afghanistan,AFG,1866,5.6805835e-8,0.0000017465276,0.0000034321408,0.000016085463,0,0.000028130615
Afghanistan,AFG,1867,6.053294e-8,0.0000018592854,0.0000036617835,0.000017137805,0,0.000030003335
Afghanistan,AFG,1868,6.427444e-8,0.0000019721538,0.000003893296,0.000018195775,0,0.000031887135
Afghanistan,AFG,1869,6.803114e-8,0.0000020851733,0.0000041266885,0.00001925937,0,0.000033781824
Afghanistan,AFG,1870,7.1804166e-8,0.0000021983974,0.0000043720856,0.000020328596,0,0.000035778063
Afghanistan,AFG,1871,7.5628314e-8,0.0000023135267,0.000004620772,0.00002141435,0,0.000037846152
Afghanistan,AFG,1872,7.956281e-8,0.0000024334522,0.000004872741,0.000022516633,0,0.00003996406
Afghanistan,AFG,1873,8.365314e-8,0.0000025603965,0.000005127989,0.000023635448,0,0.00004211974
Afghanistan,AFG,1874,8.7931085e-8,0.0000026959112,0.000005386508,0.000024770792,0,0.000044308297
Afghanistan,AFG,1875,9.241472e-8,0.0000028408792,0.000005648292,0.000025922665,0,0.00004652633
Afghanistan,AFG,1876,9.7108405e-8,0.0000029955127,0.0000059133354,0.00002709107,0,0.00004877143
Afghanistan,AFG,1877,1.02002765e-7,0.0000031593545,0.0000061816327,0.000028276003,0,0.00005104179
Afghanistan,AFG,1878,1.0707473e-7,0.0000033312776,0.0000064531755,0.000029477467,0,0.000053335832
Afghanistan,AFG,1879,1.1228752e-7,0.0000035094854,0.0000067279607,0.00003069546,0,0.000055652174
Afghanistan,AFG,1880,1.175906e-7,0.0000036915112,0.0000070059805,0.000031929983,0,0.00005806546
Afghanistan,AFG,1881,1.2295008e-7,0.0000038756984,0.000007289368,0.000033191427,0,0.00006055349
Afghanistan,AFG,1882,1.2835872e-7,0.000004061695,0.0000075781336,0.000034479795,0,0.00006309556
Afghanistan,AFG,1883,1.3381074e-7,0.0000042492184,0.000007872288,0.00003579508,0,0.00006568213
Afghanistan,AFG,1884,1.3930183e-7,0.0000044380577,0.000008171838,0.00003713729,0,0.0000683084
Afghanistan,AFG,1885,1.4482914e-7,0.0000046280734,0.000008476798,0.00003850642,0,0.00007096845
Afghanistan,AFG,1886,1.5039123e-7,0.0000048191964,0.000008787175,0.000039902472,0,0.00007365966
Afghanistan,AFG,1887,1.5598816e-7,0.0000050114286,0.000009102979,0.000041325446,0,0.000076380195
Afghanistan,AFG,1888,1.6162141e-7,0.0000052048426,0.000009424222,0.00004277534,0,0.000079128244
Afghanistan,AFG,1889,1.6729393e-7,0.0000053995823,0.000009750915,0.000044252156,0,0.00008190226
Afghanistan,AFG,1890,1.7301412e-7,0.000005603504,0.000010073586,0.000045755893,0,0.00008472707
Afghanistan,AFG,1891,1.7878153e-7,0.0000058077408,0.000010400633,0.00004727979,0,0.00008759004
Afghanistan,AFG,1892,1.845966e-7,0.0000060124266,0.000010732057,0.00004882385,0,0.00009048269
Afghanistan,AFG,1893,1.904602e-7,0.0000062176823,0.000011067857,0.000050388073,0,0.00009340211
Afghanistan,AFG,1894,1.963737e-7,0.000006423617,0.000011408037,0.000051972453,0,0.00009634654
Afghanistan,AFG,1895,2.0233894e-7,0.000006630326,0.0000117526,0.000053576994,0,0.00009931181
Afghanistan,AFG,1896,2.0835826e-7,0.0000068378936,0.000012101546,0.000055201697,0,0.00010229704
Afghanistan,AFG,1897,2.1443441e-7,0.0000070463893,0.000012454879,0.000056846562,0,0.000105301515
Afghanistan,AFG,1898,2.205707e-7,0.0000072558714,0.000012812599,0.00005851159,0,0.00010832435
Afghanistan,AFG,1899,2.2677087e-7,0.0000074663853,0.000013174707,0.000060196773,0,0.000111364825
Afghanistan,AFG,1900,2.3303913e-7,0.0000076779625,0.000013541208,0.00006190212,0,0.00011444104
Afghanistan,AFG,1901,2.3938415e-7,0.000007890743,0.000013910937,0.00006360888,0,0.00011754968
Afghanistan,AFG,1902,2.458174e-7,0.000008104955,0.00001428405,0.00006531705,0,0.00012068149
Afghanistan,AFG,1903,2.5234831e-7,0.0000083207915,0.000014660499,0.00006702663,0,0.00012381609
Afghanistan,AFG,1904,2.5898427e-7,0.000008538413,0.000015040446,0.00006873763,0,0.00012697511
Afghanistan,AFG,1905,2.657306e-7,0.000008757941,0.000015423946,0.000070450034,0,0.00013021029
